Card;Set;Buying Price;Buying Date;Note;PC@Purchase;Language;PC*10;price;change;sales_per_day
Charmander #8;Go;2.0;28/04/2025;Card;;;0;1.05;-0.16;0.0
Charmeleon #9;Go;2.0;28/04/2025;Card;;;0;1.5;0.0;0.0
Charizard Holo #10;Go;10.0;28/04/2025;Card;;;0;3.12;-0.1;2.0
Larvitar #37;Go;2.0;28/04/2025;Card;;;0;1.02;-0.12;0.0
Pupitar #38;Go;2.0;28/04/2025;Card;;;0;1.12;0.06;0.0
Tyranitar Holo #43;Go;10.0;28/04/2025;Card;;;0;1.43;0.0;0.0
Eevee #54;Go;2.0;28/04/2025;Card;;;0;1.32;-0.01;0.0
Magikarp #21;Go;2.0;28/04/2025;Card;;;0;0.91;0.0;0.0
Gyarados Holo #22;Go;10.0;28/04/2025;Card;;;0;1.24;0.0;0.0
Articuno Holo #24;Go;10.0;28/04/2025;Card;;;0;1.49;-0.11;0.0
Zapdos Holo #29;Go;;;;;;0;1.28;-0.16;0.0
Moltres Holo #12;Go;10.0;28/04/2025;Card;;;0;1.32;0.0;0.0
Blanche #64;Go;5.0;28/04/2025;Card;;;0;1.0;0.0;0.0
Candela #65;Go;5.0;28/04/2025;Card;;;0;1.36;0.02;0.0
Spark #70;Go;5.0;28/04/2025;Card;;;0;1.25;0.0;0.0
Pikachu #27;Go;0.0;28/04/2025;Card;;;0;1.33;-0.1;0.0
Pikachu Holo #28;Go;10.0;28/04/2025;Card;;;0;1.99;0.02;0.0
